node_id,node_type,node_category,hasGroupId,hasGender,hasAge,hasSeverity,hasSiteOfInfection,hasDiseaseStatus,hasTissue,hasGroupDay,hasNeutrophilProportion,hasTypeRegulation,hasPValue,hasLog2_FC,hasName,hasDescription,hasID,hasURI,normalized_label,short_label
Reaction_R-HSA-193641,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-193641,R-HSA-193641
Reaction_R-HSA-193703,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-193703,R-HSA-193703
Reaction_R-HSA-193705,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-193705,R-HSA-193705
Reaction_R-HSA-202500,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-202500,R-HSA-202500
Reaction_R-HSA-202534,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-202534,R-HSA-202534
Reaction_R-HSA-202541,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-202541,R-HSA-202541
Reaction_R-HSA-209087,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-209087,R-HSA-209087
Reaction_R-HSA-2730876,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-2730876,R-HSA-2730876
Reaction_R-HSA-451561,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-451561,R-HSA-451561
Reaction_R-HSA-5228811,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5228811,R-HSA-5228811
Reaction_R-HSA-5228840,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5228840,R-HSA-5228840
Reaction_R-HSA-5262921,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5262921,R-HSA-5262921
Reaction_R-HSA-5357776,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5357776,R-HSA-5357776
Reaction_R-HSA-5357831,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5357831,R-HSA-5357831
Reaction_R-HSA-5607742,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5607742,R-HSA-5607742
Reaction_R-HSA-5609665,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5609665,R-HSA-5609665
Reaction_R-HSA-5626962,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5626962,R-HSA-5626962
Reaction_R-HSA-5684267,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5684267,R-HSA-5684267
Reaction_R-HSA-5684275,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-5684275,R-HSA-5684275
Reaction_R-HSA-9014343,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9014343,R-HSA-9014343
Reaction_R-HSA-933530,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-933530,R-HSA-933530
Reaction_R-HSA-937032,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-937032,R-HSA-937032
Reaction_R-HSA-9749471,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9749471,R-HSA-9749471
Reaction_R-HSA-9749505,Reaction,Pathway,,,,,,,,,,,,,,,,,R-HSA-9749505,R-HSA-9749505
