reaction_id,num_biomarkers,biomarkers,reactome_url
R-HSA-2671862,1,LEPR,https://reactome.org/content/detail/R-HSA-2671862
R-HSA-2671839,1,LEPR,https://reactome.org/content/detail/R-HSA-2671839
R-HSA-2671829,1,LEPR,https://reactome.org/content/detail/R-HSA-2671829
R-HSA-2671873,1,LEPR,https://reactome.org/content/detail/R-HSA-2671873
R-HSA-2672302,1,LEPR,https://reactome.org/content/detail/R-HSA-2672302
R-HSA-2671850,1,LEPR,https://reactome.org/content/detail/R-HSA-2671850
R-HSA-6785565,1,ADAMTSL4,https://reactome.org/content/detail/R-HSA-6785565
R-HSA-5173192,1,ADAMTSL4,https://reactome.org/content/detail/R-HSA-5173192
R-HSA-5173005,1,ADAMTSL4,https://reactome.org/content/detail/R-HSA-5173005
R-HSA-4755545,1,NUS1,https://reactome.org/content/detail/R-HSA-4755545
R-HSA-2586555,1,LEPR,https://reactome.org/content/detail/R-HSA-2586555
R-HSA-4419978,1,NUS1,https://reactome.org/content/detail/R-HSA-4419978
