Source,Target,Relation,Type,Weight
Protein_CREB1,Protein_RBBP4,hasPhysicalInteractionWith,Undirected,1.0
Protein_CREB1,Protein_DAXX,hasPhysicalInteractionWith,Undirected,1.0
Protein_CREB1,Protein_CREB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CREB1,Protein_CTNNB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CREB1,Protein_CTNNB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_BARD1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_BARD1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_FEZ1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_DDX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_DDX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CSTF2,Protein_MAX,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTBP2,Protein_CTBP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_PIK3R1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_PIK3R1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_IKBKB,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_IKBKB,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_SMARCA5,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_SMARCA5,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_UBE2D1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_ISG15,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNB1,Protein_DDX1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_CDC5L,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_CDC5L,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_PRPF31,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_PRPF31,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_STAT1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_WDR77,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_SNW1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_SNW1,hasPhysicalInteractionWith,Undirected,1.0
Protein_CTNNBL1,Protein_SRPK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_CDKN1B,hasPhysicalInteractionWith,Undirected,1.0
Protein_CUL4A,Protein_CDKN1B,hasPhysicalInteractionWith,Undirected,1.0
