entity_id,label
500,Protein_INSIG1
501,Protein_INTS1
502,Protein_INTS15
503,Protein_IQGAP2
504,Protein_IRF1
505,Protein_IRF2
506,Protein_IRF7
507,Protein_ISG15
508,Protein_ISOC1
509,Protein_ISY1
510,Protein_ITGB1
511,Protein_ITM2A
512,Protein_ITM2B
513,Protein_ITPK1
514,Protein_ITPRID2
515,Protein_JKAMP
516,Protein_JMJD1C
517,Protein_JOSD2
518,Protein_JPT1
519,Protein_KANSL1
520,Protein_KAT6A
521,Protein_KATNBL1
522,Protein_KBTBD2
523,Protein_KBTBD7
524,Protein_KCTD20
525,Protein_KCTD5
526,Protein_KDM3A
527,Protein_KDM5C
528,Protein_KIF20A
529,Protein_KIFC1
530,Protein_KIR2DL1
531,Protein_KIR2DL3
532,Protein_KIR2DL4
533,Protein_KLHDC2
534,Protein_KLHL2
535,Protein_KLHL24
536,Protein_KLRD1
537,Protein_KLRF1
538,Protein_KMT2E
539,Protein_KMT5B
540,Protein_KPNA6
541,Protein_KRAS
542,Protein_KRCC1
543,Protein_KRIT1
544,Protein_KTN1
545,Protein_L3MBTL2
546,Protein_LAPTM5
547,Protein_LARP4B
548,Protein_LBR
549,Protein_LCOR
550,Protein_LENG8
551,Protein_LEPR
552,Protein_LEPROTL1
553,Protein_LGALS3
554,Protein_LGALS9
555,Protein_LIG4
556,Protein_LILRA2
557,Protein_LIMS1
558,Protein_LIN7C
559,Protein_LMBRD1
560,Protein_LMF2
561,Protein_LMNB2
562,Protein_LNPK
563,Protein_LONP1
564,Protein_LRFN4
565,Protein_LRPPRC
566,Protein_LRRC45
567,Protein_LSM6
568,Protein_LSM7
569,Protein_LY6E
570,Protein_LYG1
571,Protein_LYPLA1
572,Protein_LYPLA2
573,Protein_LYPLAL1
574,Protein_LYSMD3
575,Protein_MADD
576,Protein_MAN2A1
577,Protein_MAN2B2
578,Protein_MANBAL
579,Protein_MANSC1
580,Protein_MAP3K11
581,Protein_MAP3K8
582,Protein_MAP7
583,Protein_MAP7D3
584,Protein_MAPK1
585,Protein_MAPK6
586,Protein_MAPKAPK5
587,Protein_MAPRE3
588,Protein_MARCHF6
589,Protein_MARCHF7
590,Protein_MARK2
591,Protein_MASTL
592,Protein_MAX
593,Protein_MBD2
594,Protein_MBP
595,Protein_MCFD2
596,Protein_MCL1
597,Protein_MCM10
598,Protein_MCM2
599,Protein_MCM4
600,Protein_MCM7
601,Protein_ME2
602,Protein_MED15
603,Protein_MED24
604,Protein_MED28
605,Protein_MED29
606,Protein_MED30
607,Protein_MED4
608,Protein_MEGF9
609,Protein_MELK
610,Protein_METAP2
611,Protein_MEX3C
612,Protein_MFSD14A
613,Protein_MGAT1
614,Protein_MGST3
615,Protein_MIA2
616,Protein_MIA3
617,Protein_MICALL1
618,Protein_MICOS13
619,Protein_MICU2
620,Protein_MIEF1
621,Protein_MKRN2
622,Protein_MLLT10
623,Protein_MOB4
624,Protein_MOGS
625,Protein_MORF4L1
626,Protein_MOSPD2
627,Protein_MOV10
628,Protein_MPC1
629,Protein_MPDU1
630,Protein_MPHOSPH10
631,Protein_MPI
632,Protein_MPLKIP
633,Protein_MPND
634,Protein_MRFAP1L1
635,Protein_MRPL11
636,Protein_MRPL12
637,Protein_MRPL14
638,Protein_MRPL19
639,Protein_MRPL2
640,Protein_MRPL21
641,Protein_MRPL23
642,Protein_MRPL27
643,Protein_MRPL28
644,Protein_MRPL54
645,Protein_MRPL55
646,Protein_MRPS12
647,Protein_MRPS15
648,Protein_MRPS24
649,Protein_MRPS25
650,Protein_MRPS5
651,Protein_MRRF
652,Protein_MRTFA
653,Protein_MSANTD3
654,Protein_MTA2
655,Protein_MTF1
656,Protein_MTFP1
657,Protein_MTHFD1L
658,Protein_MTMR12
659,Protein_MTMR6
660,Protein_MTPN
661,Protein_MTR
662,Protein_MUC1
663,Protein_MYADM
664,Protein_MYC
665,Protein_MYCBP2
666,Protein_MYDGF
667,Protein_MYO19
668,Protein_MYO9B
669,Protein_MYOM2
670,Protein_MZB1
671,Protein_N4BP2L1
672,Protein_NAA16
673,Protein_NAA38
674,Protein_NAA50
675,Protein_NABP1
676,Protein_NABP2
677,Protein_NAE1
678,Protein_NAMPT
679,Protein_NAP1L1
680,Protein_NCBP2
681,Protein_NCDN
682,Protein_NCF4
683,Protein_NCK1
684,Protein_NCOR2
685,Protein_NDUFA11
686,Protein_NDUFA13
687,Protein_NDUFB7
688,Protein_NDUFV2
689,Protein_NDUFV3
690,Protein_NEDD9
691,Protein_NF1
692,Protein_NFE2L1
693,Protein_NFIC
694,Protein_NFIL3
695,Protein_NFKB2
696,Protein_NMD3
697,Protein_NME1
698,Protein_NNT
699,Protein_NOSIP
700,Protein_NPIPB3
701,Protein_NPLOC4
702,Protein_NPTN
703,Protein_NR1D2
704,Protein_NR3C1
705,Protein_NRBP1
706,Protein_NRG1
707,Protein_NT5DC1
708,Protein_NT5DC2
709,Protein_NUB1
710,Protein_NUDCD2
711,Protein_NUDCD3
712,Protein_NUDT21
713,Protein_NUP188
714,Protein_NUP214
715,Protein_NUP50
716,Protein_NUP54
717,Protein_NUS1
718,Protein_NUSAP1
719,Protein_NXF1
720,Protein_OBI1
721,Protein_ODF2
722,Protein_OGDH
723,Protein_OGFR
724,Protein_OGFRL1
725,Protein_OMA1
726,Protein_OPN3
727,Protein_OR10Q1
728,Protein_OR5B2
729,Protein_OSBPL11
730,Protein_OSBPL8
731,Protein_OSGIN1
732,Protein_OSGIN2
733,Protein_P2RY13
734,Protein_P4HB
735,Protein_PABPC1
736,Protein_PABPN1
737,Protein_PAICS
738,Protein_PAIP2
739,Protein_PAK1
740,Protein_PAK1IP1
741,Protein_PAK2
742,Protein_PAM16
743,Protein_PAPSS1
744,Protein_PARP10
745,Protein_PARP12
746,Protein_PARP6
747,Protein_PCBP1
748,Protein_PCDHA1
749,Protein_PCGF6
750,Protein_PCMTD1
751,Protein_PCNP
752,Protein_PCNX3
753,Protein_PDCD10
754,Protein_PDCD6
755,Protein_PDCL
756,Protein_PDE1B
757,Protein_PDE3B
758,Protein_PDE7A
759,Protein_PDGFA
760,Protein_PDIA4
761,Protein_PDPK1
762,Protein_PELI2
763,Protein_PEX5
764,Protein_PGAP2
765,Protein_PGLYRP1
766,Protein_PGRMC1
767,Protein_PHAX
768,Protein_PHF1
769,Protein_PHF23
770,Protein_PHF3
771,Protein_PHYH
772,Protein_PICALM
773,Protein_PIDD1
774,Protein_PIGS
775,Protein_PIK3R1
776,Protein_PILRB
777,Protein_PIMREG
778,Protein_PKIA
779,Protein_PKM
780,Protein_PKMYT1
781,Protein_PKN1
782,Protein_PLAA
783,Protein_PLAGL1
784,Protein_PLBD2
785,Protein_PLCXD1
786,Protein_PLEK
787,Protein_PLEKHA2
788,Protein_PLEKHA3
789,Protein_PLEKHF2
790,Protein_PLPP3
791,Protein_PLXNC1
792,Protein_PMAIP1
793,Protein_PML
794,Protein_PNPLA8
795,Protein_PNRC2
796,Protein_POLDIP3
797,Protein_POLR2C
798,Protein_POLR2I
799,Protein_POLR2J3
800,Protein_POLR3GL
801,Protein_POU2AF1
802,Protein_POU2F2
803,Protein_PPCS
804,Protein_PPHLN1
805,Protein_PPM1A
806,Protein_PPM1D
807,Protein_PPP1CB
808,Protein_PPP1R12A
809,Protein_PPP1R14B
810,Protein_PPP1R15B
811,Protein_PPP1R2
812,Protein_PPP1R7
813,Protein_PPP2CB
814,Protein_PPP2R2B
815,Protein_PPP2R3A
816,Protein_PPP3CA
817,Protein_PPP4R3B
818,Protein_PPP6R3
819,Protein_PPWD1
820,Protein_PRC1
821,Protein_PRCP
822,Protein_PRDM1
823,Protein_PRDM4
824,Protein_PRDX3
825,Protein_PRDX6
826,Protein_PREB
827,Protein_PRICKLE4
828,Protein_PRKAG2
829,Protein_PRKAR1A
830,Protein_PRKCB
831,Protein_PRKD2
832,Protein_PRNP
833,Protein_PRPF18
834,Protein_PRPF31
835,Protein_PRPSAP2
836,Protein_PRR13
837,Protein_PRRC1
838,Protein_PSEN2
839,Protein_PSIP1
840,Protein_PSMB5
841,Protein_PSMC6
842,Protein_PSME1
843,Protein_PSME2
844,Protein_PTBP1
845,Protein_PTBP3
846,Protein_PTDSS1
847,Protein_PTGDS
848,Protein_PTGER4
849,Protein_PTGES3
850,Protein_PTGS2
851,Protein_PTK2B
852,Protein_PTMA
853,Protein_PTPN12
854,Protein_PTPRC
855,Protein_PTTG1
856,Protein_PUSL1
857,Protein_PXMP2
858,Protein_RAB11A
859,Protein_RAB11FIP1
860,Protein_RAB22A
861,Protein_RAB24
862,Protein_RAB33B
863,Protein_RAB37
864,Protein_RAB3GAP1
865,Protein_RAB5A
866,Protein_RAB6A
867,Protein_RAB9A
868,Protein_RABAC1
869,Protein_RABEPK
870,Protein_RABGAP1
871,Protein_RABIF
872,Protein_RABL2B
873,Protein_RABL6
874,Protein_RAD21
875,Protein_RAD51D
876,Protein_RADIL
877,Protein_RALGPS2
878,Protein_RAMAC
879,Protein_RANBP9
880,Protein_RANGRF
881,Protein_RAP1B
882,Protein_RAPGEF6
883,Protein_RASGRP1
884,Protein_RASGRP2
885,Protein_RASSF5
886,Protein_RBBP4
887,Protein_RBBP6
888,Protein_RBL2
889,Protein_RBM23
890,Protein_RBM4
891,Protein_RBM42
892,Protein_RBM7
893,Protein_RCN2
894,Protein_RDH11
895,Protein_REC8
896,Protein_RECQL
897,Protein_REEP4
898,Protein_REEP5
899,Protein_REPS2
900,Protein_RERE
901,Protein_RESF1
902,Protein_RFK
903,Protein_RFX7
904,Protein_RGPD2
905,Protein_RGS18
906,Protein_RHBDD3
907,Protein_RHEB
908,Protein_RHOB
909,Protein_RHOT1
910,Protein_RHOT2
911,Protein_RIOX2
912,Protein_RIPK1
913,Protein_RMI2
914,Protein_RNASE2
915,Protein_RNASE3
916,Protein_RNF126
917,Protein_RNF145
918,Protein_RNF181
919,Protein_RNF185
920,Protein_RNF216
921,Protein_RNF24
922,Protein_RNF26
923,Protein_RNF31
924,Protein_RNF38
925,Protein_RNF4
926,Protein_RNF40
927,Protein_RNF44
928,Protein_RNPC3
929,Protein_RNPS1
930,Protein_ROCK1
931,Protein_ROMO1
932,Protein_RPA2
933,Protein_RPGR
934,Protein_RPL10A
935,Protein_RPLP1
936,Protein_RPP25
937,Protein_RPS15
938,Protein_RPS19BP1
939,Protein_RPS21
940,Protein_RPS3A
941,Protein_RPS6KA3
942,Protein_RPS6KA4
943,Protein_RPS6KB2
944,Protein_RPS7
945,Protein_RPS9
946,Protein_RRBP1
947,Protein_RRM2B
948,Protein_RSBN1L
949,Protein_RSRP1
950,Protein_RSU1
951,Protein_RTCA
952,Protein_RTN3
953,Protein_RTN4
954,Protein_RUNX2
955,Protein_SACM1L
956,Protein_SACS
957,Protein_SAFB2
958,Protein_SAMD9L
959,Protein_SAMSN1
960,Protein_SAP30BP
961,Protein_SAP30L
962,Protein_SAR1A
963,Protein_SARAF
964,Protein_SBDS
965,Protein_SCAF1
966,Protein_SCAF8
967,Protein_SCAND1
968,Protein_SCARB2
969,Protein_SCD
970,Protein_SCYL1
971,Protein_SDCBP
972,Protein_SDHAF1
973,Protein_SDHD
974,Protein_SEC16A
975,Protein_SEC22C
976,Protein_SEC24B
977,Protein_SELENOT
978,Protein_SENP7
979,Protein_SEPTIN2
980,Protein_SEPTIN6
981,Protein_SEPTIN7
982,Protein_SERINC3
983,Protein_SERP1
984,Protein_SETBP1
985,Protein_SF1
986,Protein_SF3B1
987,Protein_SF3B5
988,Protein_SFR1
989,Protein_SFXN4
990,Protein_SGTB
991,Protein_SH2D1A
992,Protein_SH3BP1
993,Protein_SH3KBP1
994,Protein_SHC1
995,Protein_SIAH1
996,Protein_SIN3B
997,Protein_SIPA1
998,Protein_SKA1
999,Protein_SKP2
1000,Protein_SLBP
1001,Protein_SLC15A4
1002,Protein_SLC1A4
1003,Protein_SLC22A16
1004,Protein_SLC25A36
1005,Protein_SLC25A44
1006,Protein_SLC26A8
