protein,label,score,kind,immune,size,degree
Protein_TOP2A,TOP2A,20.966354370117188,hub,False,150.0,13
Protein_PLAA,PLAA,24.828598022460938,consensus,False,449.5685182602694,1
Protein_SDCBP,SDCBP,20.966354370117188,hub,False,150.0,7
Protein_ERBIN,ERBIN,29.825578689575195,consensus,True,643.0806478489731,0
Protein_CCDC91,CCDC91,30.86517333984375,consensus,False,683.3397939382193,2
Protein_CDC5L,CDC5L,20.966354370117188,hub,False,150.0,23
Protein_NUS1,NUS1,26.38079833984375,consensus,False,509.6787346038665,4
Protein_P4HB,P4HB,20.966354370117188,hub,False,150.0,13
Protein_CD79A,CD79A,20.966354370117188,hub,False,150.0,2
Protein_ADAMTSL4,ADAMTSL4,23.53454971313477,consensus,False,399.45544782628235,7
Protein_CDCA5,CDCA5,20.966354370117188,consensus,False,300.0,9
Protein_PPWD1,PPWD1,20.966354370117188,hub,False,150.0,4
Protein_TGFB3,TGFB3,21.32218360900879,consensus,True,313.7797759036771,3
Protein_KBTBD7,KBTBD7,20.966354370117188,hub,False,150.0,2
Protein_BCL11A,BCL11A,20.966354370117188,hub,False,150.0,9
Protein_PRC1,PRC1,20.966354370117188,hub,False,150.0,8
Protein_HNRNPH1,HNRNPH1,20.966354370117188,hub,False,150.0,7
Protein_PPP1CB,PPP1CB,20.966354370117188,hub,False,150.0,7
Protein_AEBP2,AEBP2,21.792579650878903,consensus,False,331.9962441825009,5
Protein_ZBTB2,ZBTB2,22.84899139404297,consensus,True,372.9066458351553,4
Protein_TMEM128,TMEM128,32.66533279418945,consensus,False,753.0524289904674,4
Protein_RANGRF,RANGRF,21.534151077270508,consensus,False,321.9883880475658,2
Protein_NXF1,NXF1,20.966354370117188,hub,False,150.0,12
Protein_LGALS3,LGALS3,20.966354370117188,hub,False,150.0,6
Protein_CHD4,CHD4,20.966354370117188,hub,False,150.0,18
Protein_PDPK1,PDPK1,20.966354370117188,hub,False,150.0,4
Protein_MAP7,MAP7,26.067779541015625,consensus,False,497.5568277169404,7
Protein_TMEM106B,TMEM106B,20.966354370117188,hub,False,150.0,4
Protein_HSD17B11,HSD17B11,20.966354370117188,hub,False,150.0,4
Protein_PDIA4,PDIA4,31.00529670715332,consensus,False,688.7661849970573,11
Protein_SRPK2,SRPK2,20.966354370117188,hub,False,150.0,10
Protein_THAP6,THAP6,20.966354370117188,hub,False,150.0,1
Protein_CALR,CALR,20.966354370117188,hub,False,150.0,13
Protein_ARID4B,ARID4B,20.966354370117188,hub,False,150.0,7
Protein_NFIC,NFIC,20.966354370117188,hub,False,150.0,3
Protein_RNF31,RNF31,20.966354370117188,hub,False,150.0,8
Protein_TCEA1,TCEA1,20.966354370117188,hub,False,150.0,4
Protein_CTR9,CTR9,29.552879333496094,consensus,True,632.5201440872465,8
Protein_ARL6IP5,ARL6IP5,20.966354370117188,hub,False,150.0,7
Protein_BRI3BP,BRI3BP,24.883319854736328,consensus,False,451.68766560224265,7
Protein_SMARCA5,SMARCA5,20.966354370117188,hub,False,150.0,10
Protein_CUBN,CUBN,33.87763977050781,consensus,False,800.0,2
Protein_AURKB,AURKB,20.966354370117188,hub,False,150.0,16
Protein_NR3C1,NR3C1,20.966354370117188,hub,False,150.0,9
Protein_PRPF31,PRPF31,20.966354370117188,hub,False,150.0,10
Protein_TUBG1,TUBG1,20.966354370117188,hub,False,150.0,7
Protein_SURF4,SURF4,20.966354370117188,hub,False,150.0,7
Protein_SMAD4,SMAD4,20.966354370117188,hub,False,150.0,9
Protein_YWHAE,YWHAE,20.966354370117188,hub,False,150.0,11
Protein_RASSF5,RASSF5,29.248252868652344,consensus,True,620.7232371412297,6
Protein_ITGB1,ITGB1,20.966354370117188,hub,False,150.0,8
Protein_FNTA,FNTA,20.966354370117188,hub,False,150.0,3
Protein_TCTN3,TCTN3,20.966354370117188,hub,False,150.0,9
Protein_LMNB2,LMNB2,24.435197830200195,consensus,False,434.3337767120406,20
Protein_MED4,MED4,20.966354370117188,hub,False,150.0,7
Protein_SIAH1,SIAH1,20.966354370117188,hub,False,150.0,5
Protein_SKA1,SKA1,20.966354370117188,hub,False,150.0,6
Protein_PRR13,PRR13,31.98018455505371,consensus,False,726.5195076782713,7
Protein_RBBP4,RBBP4,20.966354370117188,hub,False,150.0,14
Protein_SEC16A,SEC16A,20.966354370117188,hub,False,150.0,9
Protein_TNFAIP8,TNFAIP8,20.966354370117188,hub,False,150.0,5
Protein_KRAS,KRAS,20.966354370117188,hub,False,150.0,23
Protein_RIOX2,RIOX2,31.678532600402832,consensus,False,714.8377910522198,0
